name	N	mu	mu_model	err_mu	zcmb	zhel	dz	mb	dmb	x1	dx1	color	dcolor	3rdvar	d3rdvar	cov_m_s	cov_m_c	cov_s_c	set	ra	dec	biascor
2002cr	17	33.2598	33.2014	0.2043	0.01012	0.009351	0.0	13.90745	0.19825	0	0	0	0	0	0	0	0	0	0	0	0	
2002dp	21	33.4142	33.2569	0.2031	0.01038	0.011640	0.0	14.0496	0.2048	0	0	0	0	0	0	0	0	0	0	0	0	
2009an	169	33.2805	33.2675	0.2013	0.01043	0.008969	0.0	13.9248	0.20035	0	0	0	0	0	0	0	0	0	0	0	0	
2006bh	202	33.3710	33.3478	0.1933	0.01082	0.010767	0.0	14.0086	0.18445	0	0	0	0	0	0	0	0	0	0	0	0	
1998dk	250	33.3729	33.5909	0.1853	0.01209	0.013201	0.0	13.9791	0.1914	0	0	0	0	0	0	0	0	0	0	0	0	
2009kk	174	33.8273	33.6108	0.1816	0.0122	0.012852	0.0	14.4566	0.1737	0	0	0	0	0	0	0	0	0	0	0	0	
2010Y	181	33.8227	33.6215	0.1820	0.01226	0.010865	0.0	14.4674	0.17765	0	0	0	0	0	0	0	0	0	0	0	0	
2002ha	26	33.8081	33.6953	0.1768	0.01268	0.013232	0.0	14.4486	0.171	0	0	0	0	0	0	0	0	0	0	0	0	
2009kq	175	33.6320	33.7005	0.1769	0.01271	0.011698	0.0	14.2811	0.1749	0	0	0	0	0	0	0	0	0	0	0	0	
1999dq	258	33.5404	33.7348	0.1723	0.01291	0.014124	0.0	14.1903	0.1716	0	0	0	0	0	0	0	0	0	0	0	0	
1997E	246	33.9108	33.7802	0.1726	0.01318	0.013142	0.0	14.55605	0.17285	0	0	0	0	0	0	0	0	0	0	0	0	
2008hv	227	33.8426	33.8842	0.1605	0.01382	0.012549	0.0	14.47835	0.15385	0	0	0	0	0	0	0	0	0	0	0	0	
2006N	96	34.0054	33.9157	0.1652	0.01402	0.014088	0.0	14.64805	0.16195	0	0	0	0	0	0	0	0	0	0	0	0	
2005kc	196	34.0264	33.9850	0.1607	0.01447	0.015120	0.0	14.6408	0.16555	0	0	0	0	0	0	0	0	0	0	0	0	
2006td	104	34.2685	33.9911	0.1630	0.01451	0.015870	0.0	14.89705	0.16765	0	0	0	0	0	0	0	0	0	0	0	0	
2007ca	221	34.3942	33.9956	0.1598	0.01454	0.014137	0.0	14.99535	0.1656	0	0	0	0	0	0	0	0	0	0	0	0	
2001fe	6	33.9653	34.0227	0.1528	0.01472	0.013538	0.0	14.6158	0.14905	0	0	0	0	0	0	0	0	0	0	0	0	
2005el	192	34.0875	34.0699	0.1572	0.01504	0.014905	0.0	14.69915	0.1491	0	0	0	0	0	0	0	0	0	0	0	0	
2004eo	185	33.9712	34.0728	0.1559	0.01506	0.015526	0.0	14.6193	0.15445	0	0	0	0	0	0	0	0	0	0	0	0	
2005bo	191	33.9339	34.0931	0.1573	0.0152	0.014433	0.0	14.53545	0.1635	0	0	0	0	0	0	0	0	0	0	0	0	
2004ey	186	34.0560	34.1075	0.1540	0.0153	0.015770	0.0	14.6705	0.1456	0	0	0	0	0	0	0	0	0	0	0	0	
2001en	5	33.9541	34.1090	0.1586	0.01531	0.016375	0.0	14.59755	0.1613	0	0	0	0	0	0	0	0	0	0	0	0	
2006hb	85	34.1038	34.1090	0.1530	0.01531	0.014956	0.0	14.74935	0.1526	0	0	0	0	0	0	0	0	0	0	0	0	
1999ej	260	34.3013	34.1104	0.1649	0.01532	0.016385	0.0	14.9486	0.16405	0	0	0	0	0	0	0	0	0	0	0	0	
